
time;ax;ay;az;wx;wy;wz;Latitude;Longitude;Speed (m/s);Altitude (m);
0,094115;0,0201;0,0221;0,1067;-0,0018;-0,0043;0,0043;0,00000000;0,00000000;0,00000000;552,70001221;
0,194683;0,0195;0,0222;0,2263;0,0024;-0,0049;0,0037;37,58760650;36,80642250;0,00000000;552,70001221;
0,294812;-0,0592;0,0778;0,0563;0,0067;-0,0031;0,0037;37,58760650;36,80642250;0,00000000;552,70001221;
0,395959;0,0138;-0,0241;-0,0456;0,0116;-0,0043;0,0043;37,58760650;36,80642250;0,00000000;552,70001221;
0,495432;0,0365;-0,0624;-0,0157;0,0110;-0,0024;0,0037;37,58760650;36,80642250;0,00000000;552,70001221;
0,596674;0,0069;-0,0555;-0,1317;0,0104;0,0006;0,0037;37,58760650;36,80642250;0,00000000;552,70001221;
0,697312;0,0759;-0,0714;-0,0135;0,0067;0,0000;0,0043;37,58760650;36,80642250;0,00000000;552,70001221;
0,797978;0,0973;-0,0699;-0,0134;0,0031;0,0012;0,0055;37,58760650;36,80642250;0,00000000;552,70001221;
0,898078;-0,0143;-0,0299;0,0367;0,0018;0,0049;0,0055;37,58760650;36,80642250;0,00000000;552,70001221;
0,998819;0,1466;-0,0519;-0,0162;0,0018;0,0018;0,0049;37,58760650;36,80642250;0,00000000;552,70001221;
1,098791;0,0039;-0,0394;-0,0380;0,0043;0,0024;0,0073;37,58760650;36,80642250;0,00000000;552,70001221;
1,198369;0,0472;-0,0706;-0,0762;0,0037;0,0031;0,0067;37,58760650;36,80642250;0,00000000;552,70001221;
1,298869;-0,1128;-0,0695;0,0152;0,0067;0,0012;0,0055;37,58760650;36,80642250;0,00000000;552,70001221;
1,402746;-0,1673;-0,0589;0,0733;0,0098;0,0012;0,0079;37,58760650;36,80642250;0,00000000;552,70001221;
1,499725;-0,0969;-0,0546;0,0659;0,0116;0,0000;0,0061;37,58760650;36,80642250;0,00000000;562,00000000;
1,600081;-0,0254;-0,0746;-0,0276;0,0110;0,0006;0,0067;37,58770833;36,80758167;3,31789947;562,00000000;
1,701793;0,0903;-0,1469;-0,0921;0,0098;0,0006;0,0073;37,58770833;36,80758167;3,31789947;562,00000000;
1,801216;-0,0370;-0,0569;-0,1272;0,0061;0,0012;0,0073;37,58770833;36,80758167;3,31789947;562,00000000;
1,901731;0,0509;-0,0644;-0,1384;0,0061;0,0000;0,0067;37,58770833;36,80758167;3,31789947;562,00000000;
2,002719;0,0694;-0,0438;0,0556;0,0073;0,0000;0,0098;37,58770833;36,80758167;3,31789947;562,00000000;
2,102691;-0,2219;-0,0567;-0,2653;0,0061;0,0024;0,0079;37,58770833;36,80758167;3,31789947;562,00000000;
2,202445;0,0910;0,0333;-0,0878;0,0073;0,0031;0,0073;37,58770833;36,80758167;3,31789947;562,00000000;
2,303317;0,0865;-0,0158;-0,1190;0,0061;0,0024;0,0098;37,58770833;36,80758167;3,31789947;562,00000000;
2,403405;-0,1497;-0,1676;-0,1955;0,0073;0,0006;0,0073;37,58770833;36,80758167;3,31789947;556,00000000;
2,504245;-0,0416;-0,0866;-0,1738;0,0079;-0,0012;0,0067;37,58774167;36,80774833;3,69416142;556,00000000;
2,604589;0,0078;-0,0476;-0,1280;0,0073;-0,0043;0,0086;37,58774167;36,80774833;3,69416142;556,00000000;
2,704630;0,0131;-0,1647;-0,1639;0,0067;-0,0018;0,0110;37,58774167;36,80774833;3,69416142;556,00000000;
2,804960;-0,1907;0,0115;-0,3487;0,0079;0,0006;0,0086;37,58774167;36,80774833;3,69416142;556,00000000;
2,904937;-0,0766;-0,0388;-0,3704;0,0067;0,0031;0,0092;37,58774167;36,80774833;3,69416142;556,00000000;
3,006016;0,1311;0,0193;-0,2652;0,0061;0,0024;0,0098;37,58774167;36,80774833;3,69416142;556,00000000;
3,106463;0,3982;-0,0249;-0,0232;0,0073;-0,0012;0,0073;37,58774167;36,80774833;3,69416142;556,00000000;
3,206275;0,0052;0,0059;-0,2363;0,0061;-0,0037;0,0073;37,58774167;36,80774833;3,69416142;556,00000000;
